Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
40,30.000000,12.000000,10408.540964,507.000000,10408.540964,507.000000,10408.540964,507.000000,10408.540964,507.000000,10408.540964,507.000000,10408.540964,507.000000
40,30.000000,15.000000,13145.172992,2423.000000,13145.172992,2423.000000,13145.172992,2423.000000,13145.172992,2423.000000,13145.172992,2423.000000,13145.172992,2423.000000
40,16.772000,64.000000,11236.681049,1264.000000,11236.681049,1264.000000,11236.681049,1264.000000,11236.681049,1264.000000,11236.681049,1264.000000,11236.681049,1264.000000
40,30.000000,18.000000,14592.780510,1784.000000,14624.185379,1784.000000,14592.780510,1784.000000,14592.780510,1784.000000,14592.780510,1784.000000,14592.780510,1784.000000
40,30.000000,6.000000,11519.996962,2027.000000,11519.996962,2027.000000,11519.996962,2027.000000,11519.996962,2027.000000,11519.996962,2027.000000,11519.996962,2027.000000
40,5.649000,4096.000000,89170.704472,17310.000000,89170.704472,17310.000000,89170.704472,17310.000000,89170.704472,17310.000000,89170.704472,17310.000000,89170.704472,17310.000000
40,30.000000,9.000000,10698.425071,1472.000000,10698.425071,1472.000000,10698.425071,1472.000000,10698.425071,1472.000000,10698.425071,1472.000000,10698.425071,1472.000000
40,7.918000,512.000000,21314.659720,4575.000000,21314.659720,4575.000000,21314.659720,4575.000000,21314.659720,4575.000000,21314.659720,4575.000000,21314.659720,4575.000000
40,4.073000,262144.000000,99737.691391,19353.000000,99737.691391,19353.000000,99737.691391,19353.000000,99737.691391,19353.000000,99737.691391,19353.000000,99737.691391,19353.000000
40,4.639000,32768.000000,163226.427572,39915.000000,163226.427572,39915.000000,163226.427572,39915.000000,163226.427572,39915.000000,163226.427572,39915.000000,163226.427572,39915.000000
