Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
28,4.639000,32768.000000,267608.064968,85980.000000,267608.064968,85980.000000,267608.064968,85980.000000,267608.064968,85980.000000,267608.064968,85980.000000,267608.064968,85980.000000
28,4.073000,262144.000000,198848.978237,66183.000000,198848.978237,66183.000000,198848.978237,66183.000000,198848.978237,66183.000000,198848.978237,66183.000000,198848.978237,66183.000000
28,5.649000,4096.000000,665852.751256,297681.000000,665852.751256,297681.000000,665852.751256,297681.000000,665852.751256,297681.000000,665852.751256,297681.000000,665852.751256,297681.000000
28,30.000000,18.000000,1584588.428509,26509.000000,1584588.428509,26509.000000,1584588.428509,26509.000000,1584588.428509,26509.000000,1584588.428509,26509.000000,1584588.428509,26509.000000
28,30.000000,12.000000,1728524.816062,29079.000000,1728524.816062,29079.000000,1728524.816062,29079.000000,1728524.816062,29079.000000,1728524.816062,29079.000000,1728524.816062,29079.000000
28,30.000000,9.000000,1583898.983723,29072.000000,1583898.983723,29072.000000,1583898.983723,29072.000000,1583898.983723,29072.000000,1583898.983723,29072.000000,1583898.983723,29072.000000
28,16.772000,64.000000,1697576.318694,29385.000000,1697576.318694,29385.000000,1697576.318694,29385.000000,1697576.318694,29385.000000,1697576.318694,29385.000000,1697576.318694,29385.000000
28,30.000000,6.000000,1498047.142285,25701.000000,1498047.142285,25701.000000,1498047.142285,25701.000000,1498047.142285,25701.000000,1498047.142285,25701.000000,1498047.142285,25701.000000
28,7.918000,512.000000,1298379.485185,283849.000000,1298379.485185,283849.000000,1298379.485185,283849.000000,1298379.485185,283849.000000,1298379.485185,283849.000000,1298379.485185,283849.000000
28,30.000000,15.000000,1714542.273453,30997.000000,1714542.273453,30997.000000,1714542.273453,30997.000000,1714542.273453,30997.000000,1714542.273453,30997.000000,1714542.273453,30997.000000
