Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
38,16.772000,64.000000,12423.160628,12245.203714,12245.371942,12245.371942,12424.922656,12245.371942
38,30.000000,6.000000,11877.477047,11877.477047,11877.477047,11877.477047,11877.477047,11877.477047
38,5.649000,4096.000000,49863.572987,49863.572987,49863.572987,49863.572987,49863.572987,49863.572987
38,30.000000,18.000000,14355.517267,14138.885564,14136.856581,14036.328259,14033.489374,14016.324411
38,30.000000,15.000000,13461.728195,13363.426956,13366.844093,13369.647378,13401.083725,13305.516412
38,30.000000,9.000000,12016.530448,12016.530448,12016.530448,12016.530448,12016.530448,12016.530448
38,30.000000,12.000000,12965.634346,12872.146247,12872.146247,12872.146247,12872.146247,12872.146247
38,7.918000,512.000000,30006.179147,29612.080103,29612.080103,29612.080103,29612.080103,29612.080103
38,4.639000,32768.000000,114514.767144,114514.767144,114514.767144,114514.767144,114514.767144,114514.767144
38,4.073000,262144.000000,121080.965469,121074.872765,121074.872765,121074.872765,121074.872765,121074.872765
