Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
40,30.000000,18.000000,11994.312069,11976.305065,11969.690138,11962.215347,11959.883946,11952.085759
40,30.000000,15.000000,12625.508109,12568.961970,12568.044359,12561.191623,12561.191623,12559.251252
40,16.772000,64.000000,10684.427359,10661.433534,10661.433534,10661.433534,10661.433534,10661.433534
40,30.000000,6.000000,10546.009862,10546.009862,10546.009862,10546.009862,10546.009862,10546.009862
40,30.000000,12.000000,11133.189211,10777.298131,10777.298131,10777.298131,10782.022306,10777.298131
40,30.000000,9.000000,10439.452811,10439.452811,10439.452811,10439.452811,10439.452811,10439.452811
40,7.918000,512.000000,20719.816481,20719.816481,20719.816481,20719.816481,20719.816481,20719.816481
40,4.639000,32768.000000,72966.601709,72908.601440,72908.601440,72908.601440,72908.601440,72908.601440
40,5.649000,4096.000000,54489.694530,54487.560094,54487.560094,54487.560094,54487.560094,54487.560094
40,4.073000,262144.000000,230669.066483,230669.066483,230669.066483,230669.066483,230669.066483,230669.066483
