Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
32,16.772000,64.000000,28799.421018,28794.452903,28794.452903,28794.452903,28794.452903,28794.452903
32,30.000000,12.000000,35303.363027,35303.363027,35303.363027,35303.363027,35303.363027,35303.363027
32,30.000000,18.000000,57643.609030,56064.723329,55949.358629,55949.358629,57563.002554,55949.358629
32,30.000000,15.000000,59226.154569,58758.982096,58758.982096,58852.792729,58852.792729,58758.982096
32,30.000000,6.000000,46688.895436,46688.895436,46688.895436,46688.895436,46688.895436,46688.895436
32,30.000000,9.000000,62808.594181,62808.594181,62808.594181,62808.594181,62808.594181,62808.594181
32,7.918000,512.000000,123031.826004,123968.868040,123968.868040,123968.868040,123968.868040,123968.868040
32,5.649000,4096.000000,156544.042758,156544.042758,156544.042758,156544.042758,156544.042758,156544.042758
32,4.073000,262144.000000,204130.755355,204130.755355,204130.755355,204130.755355,204130.755355,204130.755355
32,4.639000,32768.000000,181979.048404,181979.048404,181979.048404,181979.048404,181979.048404,181979.048404
