Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
38,4.073000,262144.000000,35939.761282,19503.000000
38,4.639000,32768.000000,63802.310695,41362.000000
38,5.649000,4096.000000,31365.188601,8622.000000
38,7.918000,512.000000,22943.130105,4589.000000
38,16.772000,64.000000,16309.622650,3760.000000
38,30.000000,6.000000,19741.635393,4022.000000
38,30.000000,9.000000,16392.445120,3482.000000
38,30.000000,12.000000,14984.630459,2348.000000
38,30.000000,15.000000,16801.027141,2707.000000
38,30.000000,18.000000,15387.456450,2845.000000
