Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
28,4.073000,262144.000000,95008.888000,76795.000000
28,4.639000,32768.000000,115229.000191,85980.000000
28,5.649000,4096.000000,670725.285402,297681.000000
28,7.918000,512.000000,1222363.564470,233442.000000
28,16.772000,64.000000,1873147.435957,161940.000000
28,30.000000,6.000000,1830039.163483,156053.000000
28,30.000000,9.000000,1821270.027025,149188.000000
28,30.000000,12.000000,1917865.559366,197543.000000
28,30.000000,15.000000,1803762.449714,149304.000000
28,30.000000,18.000000,1545012.665240,116099.000000
