Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
32,4.073000,262144.000000,70485.756568,47895.000000
32,4.639000,32768.000000,57532.941225,27167.000000
32,5.649000,4096.000000,201204.625851,154033.000000
32,7.918000,512.000000,48486.206492,12323.000000
32,16.772000,64.000000,66557.889487,14103.000000
32,30.000000,6.000000,102647.915522,22357.000000
32,30.000000,9.000000,113348.225813,22394.000000
32,30.000000,12.000000,153365.755060,32101.000000
32,30.000000,15.000000,133842.545138,33040.000000
32,30.000000,18.000000,147212.381633,37240.000000
