Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
28,4.073000,262144.000000,324049.344005,274511.000000
28,4.639000,32768.000000,145137.395495,100367.000000
28,5.649000,4096.000000,698604.628915,287597.000000
28,7.918000,512.000000,1165753.128887,232643.000000
28,16.772000,64.000000,1148739.684395,64454.000000
28,30.000000,6.000000,1792107.525926,159444.000000
28,30.000000,9.000000,1621596.274867,149438.000000
28,30.000000,12.000000,1145188.564350,44528.000000
28,30.000000,15.000000,2532331.669767,213871.000000
28,30.000000,18.000000,2006678.380807,174489.000000
