Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
32,4.073000,262144.000000,87340.534696,78747.000000
32,4.639000,32768.000000,153264.272872,138761.000000
32,5.649000,4096.000000,129134.992508,98225.000000
32,7.918000,512.000000,93523.400532,34376.000000
32,16.772000,64.000000,97765.695466,29773.000000
32,30.000000,6.000000,100908.072358,20936.000000
32,30.000000,9.000000,113240.869716,26987.000000
32,30.000000,12.000000,165749.799354,33968.000000
32,30.000000,15.000000,138830.774355,34901.000000
32,30.000000,18.000000,98172.251813,25112.000000
