Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
32,4.073000,262144.000000,72869.148753,40198.000000
32,4.639000,32768.000000,261061.311866,228786.000000
32,5.649000,4096.000000,119417.920255,72726.000000
32,7.918000,512.000000,220136.362557,115214.000000
32,16.772000,64.000000,107011.569239,29800.000000
32,30.000000,6.000000,77865.031234,14826.000000
32,30.000000,9.000000,106721.372588,26056.000000
32,30.000000,12.000000,66074.677653,16171.000000
32,30.000000,15.000000,96882.948077,31271.000000
32,30.000000,18.000000,73924.934819,20608.000000
