Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
20,4.073000,262144.000000,712821.600747,264042.000000
20,4.639000,32768.000000,1011266.574825,221179.000000
20,5.649000,4096.000000,1627608.570838,268489.000000
20,7.918000,512.000000,3180421.445242,280071.000000
20,16.772000,64.000000,6570875.121372,278276.000000
20,30.000000,6.000000,7609864.300615,284813.000000
20,30.000000,9.000000,7094430.741854,288700.000000
20,30.000000,12.000000,7046197.715162,293344.000000
20,30.000000,15.000000,6243615.896064,290426.000000
20,30.000000,18.000000,6349009.447727,289475.000000
