Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
30,4.073000,262144.000000,398317.844458,270667.000000
30,4.639000,32768.000000,291717.972628,217124.000000
30,5.649000,4096.000000,456032.901392,227106.000000
30,7.918000,512.000000,135485.933170,56217.000000
30,16.772000,64.000000,582092.407390,29847.000000
30,30.000000,6.000000,651937.108270,24209.000000
30,30.000000,9.000000,891692.596817,30704.000000
30,30.000000,12.000000,635579.040377,32573.000000
30,30.000000,15.000000,363345.027117,36758.000000
30,30.000000,18.000000,684204.212192,45147.000000
