Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
20,4.073000,262144.000000,718926.083597,331730.000000
20,4.639000,32768.000000,932347.948137,268788.000000
20,5.649000,4096.000000,1749618.325686,270408.000000
20,7.918000,512.000000,3145566.194353,282480.000000
20,16.772000,64.000000,6697115.122249,289967.000000
20,30.000000,6.000000,7832761.567063,289673.000000
20,30.000000,9.000000,6966715.842794,280725.000000
20,30.000000,12.000000,6618788.362396,282169.000000
20,30.000000,15.000000,6579116.011868,292983.000000
20,30.000000,18.000000,6433903.267274,291880.000000
