Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
36,4.073000,262144.000000,29415.162230,13056.000000
36,4.639000,32768.000000,77875.027705,47590.000000
36,5.649000,4096.000000,51415.835275,20770.000000
36,7.918000,512.000000,41109.944004,14668.000000
36,16.772000,64.000000,22095.991989,5284.000000
36,30.000000,6.000000,22141.493468,5770.000000
36,30.000000,9.000000,22584.056146,5174.000000
36,30.000000,12.000000,27331.950863,6254.000000
36,30.000000,15.000000,26578.840851,7466.000000
36,30.000000,18.000000,29298.890354,6525.000000
