Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
24,4.073000,262144.000000,378673.426262,255823.000000
24,4.639000,32768.000000,673162.826449,311334.000000
24,5.649000,4096.000000,1097826.853841,298145.000000
24,7.918000,512.000000,2035153.697489,252654.000000
24,16.772000,64.000000,4388844.738687,246917.000000
24,30.000000,6.000000,5279801.572436,260794.000000
24,30.000000,9.000000,4854715.663344,257951.000000
24,30.000000,12.000000,4548622.666397,256514.000000
24,30.000000,15.000000,4683784.158672,259870.000000
24,30.000000,18.000000,4303212.768887,260079.000000
