Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
34,4.073000,262144.000000,47063.359294,24373.000000
34,4.639000,32768.000000,170959.966144,94471.000000
34,5.649000,4096.000000,80714.199061,53823.000000
34,7.918000,512.000000,50002.832960,19875.000000
34,16.772000,64.000000,34764.532501,8106.000000
34,30.000000,6.000000,51213.571727,9116.000000
34,30.000000,9.000000,32059.389358,6077.000000
34,30.000000,12.000000,37259.589504,6360.000000
34,30.000000,15.000000,32737.222530,6970.000000
34,30.000000,18.000000,47910.716922,12371.000000
