Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
20,4.073000,262144.000000,572827.328222,213224.000000
20,4.639000,32768.000000,1120219.201837,252275.000000
20,5.649000,4096.000000,1539158.895763,257737.000000
20,7.918000,512.000000,3123288.916230,282491.000000
20,16.772000,64.000000,6640666.957575,289444.000000
20,30.000000,6.000000,7595365.404439,287097.000000
20,30.000000,9.000000,7464343.262246,293792.000000
20,30.000000,12.000000,6779649.934961,283434.000000
20,30.000000,15.000000,6476906.619720,287686.000000
20,30.000000,18.000000,6409702.588472,279429.000000
