Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
26,4.073000,262144.000000,370937.061138,231136.000000
26,4.639000,32768.000000,239847.276926,118715.000000
26,5.649000,4096.000000,667939.656717,221783.000000
26,7.918000,512.000000,1983925.481703,237686.000000
26,16.772000,64.000000,3166800.991466,225532.000000
26,30.000000,6.000000,3316086.021796,226153.000000
26,30.000000,9.000000,3813304.103915,241768.000000
26,30.000000,12.000000,2894850.895166,224333.000000
26,30.000000,15.000000,3440014.001231,232348.000000
26,30.000000,18.000000,3014539.401196,227552.000000
