Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
28,4.073000,262144.000000,463453.260224,256494.000000
28,4.639000,32768.000000,264698.501656,181084.000000
28,5.649000,4096.000000,622980.666450,282947.000000
28,7.918000,512.000000,1274790.101365,238264.000000
28,16.772000,64.000000,1538419.408217,132845.000000
28,30.000000,6.000000,1888308.777542,162935.000000
28,30.000000,9.000000,1368160.969030,116103.000000
28,30.000000,12.000000,1395048.805718,105931.000000
28,30.000000,15.000000,1462438.696909,125361.000000
28,30.000000,18.000000,1786691.912499,169787.000000
