Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
38,4.073000,262144.000000,48790.783597,42918.000000
38,4.639000,32768.000000,84290.530678,61964.000000
38,5.649000,4096.000000,64042.703339,37229.000000
38,7.918000,512.000000,26167.128463,8798.000000
38,16.772000,64.000000,16845.105639,3344.000000
38,30.000000,6.000000,17780.069994,3305.000000
38,30.000000,9.000000,15006.688309,2742.000000
38,30.000000,12.000000,15933.324073,2678.000000
38,30.000000,15.000000,14654.089293,2355.000000
38,30.000000,18.000000,18809.871424,3902.000000
