Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
28,4.073000,262144.000000,221182.015985,192310.000000
28,4.639000,32768.000000,372992.042085,251574.000000
28,5.649000,4096.000000,409641.115494,196942.000000
28,7.918000,512.000000,1082207.920752,217232.000000
28,16.772000,64.000000,1263323.580598,62973.000000
28,30.000000,6.000000,1871636.744280,147896.000000
28,30.000000,9.000000,1712974.144815,161457.000000
28,30.000000,12.000000,1824123.534577,156643.000000
28,30.000000,15.000000,1831286.668169,157825.000000
28,30.000000,18.000000,1721532.019531,146137.000000
