Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
22,4.073000,262144.000000,423760.967944,191774.000000
22,4.639000,32768.000000,936120.453465,253377.000000
22,5.649000,4096.000000,1423273.269528,247285.000000
22,7.918000,512.000000,2675223.004813,280778.000000
22,16.772000,64.000000,5393911.876476,271799.000000
22,30.000000,6.000000,6452886.980650,270721.000000
22,30.000000,9.000000,6429155.494550,282660.000000
22,30.000000,12.000000,5832477.928600,278403.000000
22,30.000000,15.000000,6059465.546603,283459.000000
22,30.000000,18.000000,5462608.249315,281817.000000
