Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
32,4.073000,262144.000000,67721.040851,40178.000000
32,4.639000,32768.000000,150723.047438,105989.000000
32,5.649000,4096.000000,153266.239616,109879.000000
32,7.918000,512.000000,111003.838285,34653.000000
32,16.772000,64.000000,59778.823274,11968.000000
32,30.000000,6.000000,87126.527585,22212.000000
32,30.000000,9.000000,93171.456294,24597.000000
32,30.000000,12.000000,74009.643128,19285.000000
32,30.000000,15.000000,88954.717632,23890.000000
32,30.000000,18.000000,120289.733032,37527.000000
