Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
22,4.073000,262144.000000,436254.450980,243257.000000
22,4.639000,32768.000000,798482.937961,271649.000000
22,5.649000,4096.000000,1423698.181151,281598.000000
22,7.918000,512.000000,2238733.416417,263863.000000
22,16.772000,64.000000,5605710.752832,270628.000000
22,30.000000,6.000000,6705843.254961,276310.000000
22,30.000000,9.000000,6063337.761712,275185.000000
22,30.000000,12.000000,5693743.338921,281864.000000
22,30.000000,15.000000,5380412.299501,270082.000000
22,30.000000,18.000000,5518256.910927,293067.000000
