Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
22,4.073000,262144.000000,627683.129933,369340.000000
22,4.639000,32768.000000,667718.766515,249387.000000
22,5.649000,4096.000000,1449568.703651,266737.000000
22,7.918000,512.000000,2547928.212607,271019.000000
22,16.772000,64.000000,5696251.664931,278010.000000
22,30.000000,6.000000,6173872.475659,267978.000000
22,30.000000,9.000000,5956910.908917,268523.000000
22,30.000000,12.000000,5901439.062592,281945.000000
22,30.000000,15.000000,5540684.347159,279876.000000
22,30.000000,18.000000,5517282.969234,284309.000000
