Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
26,4.073000,262144.000000,80772.508560,73811.000000
26,4.639000,32768.000000,541783.904525,271128.000000
26,5.649000,4096.000000,715848.560239,270517.000000
26,7.918000,512.000000,1457003.923699,235965.000000
26,16.772000,64.000000,2813695.873297,218703.000000
26,30.000000,6.000000,3743378.826815,229149.000000
26,30.000000,9.000000,3633818.699016,235032.000000
26,30.000000,12.000000,2862356.873216,199815.000000
26,30.000000,15.000000,3258029.751027,232160.000000
26,30.000000,18.000000,3701249.879717,260407.000000
