Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
24,4.073000,262144.000000,452033.103432,262408.000000
24,4.639000,32768.000000,422576.156948,186586.000000
24,5.649000,4096.000000,1008433.234325,264300.000000
24,7.918000,512.000000,1860302.931722,225147.000000
24,16.772000,64.000000,4619292.134654,259751.000000
24,30.000000,6.000000,5317933.725688,255174.000000
24,30.000000,9.000000,4976258.957942,264553.000000
24,30.000000,12.000000,4287597.415306,241355.000000
24,30.000000,15.000000,4498602.452640,256559.000000
24,30.000000,18.000000,4516509.212747,262170.000000
