Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
24,4.073000,262144.000000,510845.893357,334108.000000
24,4.639000,32768.000000,371953.539435,195391.000000
24,5.649000,4096.000000,1275520.280813,258125.000000
24,7.918000,512.000000,2037224.028353,244510.000000
24,16.772000,64.000000,4547141.709797,258386.000000
24,30.000000,6.000000,5180171.695236,263139.000000
24,30.000000,9.000000,4898060.594416,250754.000000
24,30.000000,12.000000,4544431.841439,249058.000000
24,30.000000,15.000000,4171082.223823,242283.000000
24,30.000000,18.000000,4507235.138252,266061.000000
