Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
36,4.073000,262144.000000,54224.825929,37853.000000
36,4.639000,32768.000000,93038.857527,59745.000000
36,5.649000,4096.000000,81224.116283,33926.000000
36,7.918000,512.000000,39893.642601,13931.000000
36,16.772000,64.000000,19904.894072,3322.000000
36,30.000000,6.000000,21692.401826,6235.000000
36,30.000000,9.000000,21269.896168,4869.000000
36,30.000000,12.000000,22898.350879,5530.000000
36,30.000000,15.000000,23378.667691,4314.000000
36,30.000000,18.000000,32596.891493,9088.000000
