Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
26,4.073000,262144.000000,349926.482117,212003.000000
26,4.639000,32768.000000,575575.119353,265920.000000
26,5.649000,4096.000000,954576.430140,254862.000000
26,7.918000,512.000000,1583250.411282,237730.000000
26,16.772000,64.000000,3050474.537221,213161.000000
26,30.000000,6.000000,3853584.602585,245084.000000
26,30.000000,9.000000,3445804.884461,219134.000000
26,30.000000,12.000000,3201113.335154,221161.000000
26,30.000000,15.000000,2803750.565434,216728.000000
26,30.000000,18.000000,3237879.319272,236294.000000
