Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
34,4.073000,262144.000000,71717.561127,57136.000000
34,4.639000,32768.000000,39521.684213,19006.000000
34,5.649000,4096.000000,82842.439842,34749.000000
34,7.918000,512.000000,57191.273198,20969.000000
34,16.772000,64.000000,47370.252564,12591.000000
34,30.000000,6.000000,43859.884781,7875.000000
34,30.000000,9.000000,49866.125235,11765.000000
34,30.000000,12.000000,35528.249549,6074.000000
34,30.000000,15.000000,39265.208748,12342.000000
34,30.000000,18.000000,33668.385171,6155.000000
