Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
30,4.073000,262144.000000,95863.223689,70025.000000
30,4.639000,32768.000000,65236.964499,36093.000000
30,5.649000,4096.000000,247563.170195,165638.000000
30,7.918000,512.000000,378197.406439,182460.000000
30,16.772000,64.000000,668191.403600,29848.000000
30,30.000000,6.000000,819617.724098,25646.000000
30,30.000000,9.000000,850815.924992,28844.000000
30,30.000000,12.000000,607556.206517,35834.000000
30,30.000000,15.000000,895821.863136,44202.000000
30,30.000000,18.000000,778776.181765,43751.000000
