Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
20,4.073000,262144.000000,497391.888433,204143.000000
20,4.639000,32768.000000,1202043.999921,244412.000000
20,5.649000,4096.000000,1902722.860067,293202.000000
20,7.918000,512.000000,3223060.531184,279907.000000
20,16.772000,64.000000,6646912.057044,275183.000000
20,30.000000,6.000000,7753639.843395,288425.000000
20,30.000000,9.000000,7191151.116254,287731.000000
20,30.000000,12.000000,6658958.263671,290334.000000
20,30.000000,15.000000,6455669.984700,286721.000000
20,30.000000,18.000000,6249373.695784,294649.000000
