Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
32,4.073000,262144.000000,202587.205655,190689.000000
32,4.639000,32768.000000,122263.707481,92543.000000
32,5.649000,4096.000000,279965.394333,163644.000000
32,7.918000,512.000000,62322.196054,24375.000000
32,16.772000,64.000000,59210.525492,18328.000000
32,30.000000,6.000000,186165.758882,23269.000000
32,30.000000,9.000000,110641.251895,23708.000000
32,30.000000,12.000000,170154.031178,30701.000000
32,30.000000,15.000000,65209.085663,20253.000000
32,30.000000,18.000000,115145.239724,27097.000000
