Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
40,4.073000,262144.000000,47362.347503,30228.000000
40,4.639000,32768.000000,71527.853134,48251.000000
40,5.649000,4096.000000,57667.404892,22400.000000
40,7.918000,512.000000,21243.761320,5360.000000
40,16.772000,64.000000,13517.484011,3041.000000
40,30.000000,6.000000,14909.948826,3072.000000
40,30.000000,9.000000,14010.587568,2998.000000
40,30.000000,12.000000,12537.687307,1775.000000
40,30.000000,15.000000,15477.032500,3343.000000
40,30.000000,18.000000,18080.213716,3821.000000
