Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
20,4.073000,262144.000000,479074.626436,228493.000000
20,4.639000,32768.000000,873091.349055,224767.000000
20,5.649000,4096.000000,1841729.093884,269506.000000
20,7.918000,512.000000,3154203.379333,284021.000000
20,16.772000,64.000000,6592610.127439,285067.000000
20,30.000000,6.000000,7674351.548589,286349.000000
20,30.000000,9.000000,7084275.570761,284192.000000
20,30.000000,12.000000,6687751.462189,279910.000000
20,30.000000,15.000000,6680441.325286,293037.000000
20,30.000000,18.000000,6538785.405617,292237.000000
