Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
34,4.073000,262144.000000,92213.619878,76340.000000
34,4.639000,32768.000000,160630.289080,141797.000000
34,5.649000,4096.000000,47296.277729,24084.000000
34,7.918000,512.000000,77773.000540,43055.000000
34,16.772000,64.000000,26997.305495,6419.000000
34,30.000000,6.000000,37921.471609,8546.000000
34,30.000000,9.000000,44632.248946,14134.000000
34,30.000000,12.000000,40358.996866,7546.000000
34,30.000000,15.000000,43624.758888,9323.000000
34,30.000000,18.000000,45418.142190,12166.000000
