Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
36,4.073000,262144.000000,54520.314618,36652.000000
36,4.639000,32768.000000,153890.679058,108216.000000
36,5.649000,4096.000000,63346.213841,47368.000000
36,7.918000,512.000000,35603.892975,16461.000000
36,16.772000,64.000000,21330.712740,8242.000000
36,30.000000,6.000000,21244.044036,4565.000000
36,30.000000,9.000000,23302.280918,4762.000000
36,30.000000,12.000000,27729.329527,5963.000000
36,30.000000,15.000000,27659.561674,9276.000000
36,30.000000,18.000000,26086.370790,4934.000000
