Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
24,4.073000,262144.000000,83928.653135,55702.000000
24,4.639000,32768.000000,544508.309019,237776.000000
24,5.649000,4096.000000,1032421.046747,259392.000000
24,7.918000,512.000000,2048589.722273,240670.000000
24,16.772000,64.000000,4745130.869506,261497.000000
24,30.000000,6.000000,5473674.604980,268701.000000
24,30.000000,9.000000,5304849.487888,271209.000000
24,30.000000,12.000000,4783070.778162,257596.000000
24,30.000000,15.000000,4449531.774241,264331.000000
24,30.000000,18.000000,4350726.206850,266516.000000
