Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
40,4.073000,262144.000000,190315.969632,173704.000000
40,4.639000,32768.000000,73254.313122,50862.000000
40,5.649000,4096.000000,40392.168783,21531.000000
40,7.918000,512.000000,19790.004270,7073.000000
40,16.772000,64.000000,14552.151697,2566.000000
40,30.000000,6.000000,15204.805063,3485.000000
40,30.000000,9.000000,13004.424286,1999.000000
40,30.000000,12.000000,13992.880154,2462.000000
40,30.000000,15.000000,14535.113794,4332.000000
40,30.000000,18.000000,14411.388517,2990.000000
