Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
20,4.073000,262144.000000,536662.813846,183424.000000
20,4.639000,32768.000000,1004988.603625,243542.000000
20,5.649000,4096.000000,1797304.580687,279991.000000
20,7.918000,512.000000,3169617.038264,277874.000000
20,16.772000,64.000000,6541931.860932,283832.000000
20,30.000000,6.000000,7592818.075436,283449.000000
20,30.000000,9.000000,7207806.099275,283501.000000
20,30.000000,12.000000,6980416.494753,285097.000000
20,30.000000,15.000000,6871561.356069,290585.000000
20,30.000000,18.000000,6483609.371485,295894.000000
