Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
24,4.073000,262144.000000,131315.452644,96837.000000
24,4.639000,32768.000000,309401.041850,135828.000000
24,5.649000,4096.000000,1190277.056585,288547.000000
24,7.918000,512.000000,2038222.410588,229744.000000
24,16.772000,64.000000,4524786.869056,251139.000000
24,30.000000,6.000000,5256078.649445,249008.000000
24,30.000000,9.000000,4753265.413677,258299.000000
24,30.000000,12.000000,4628849.134251,254399.000000
24,30.000000,15.000000,4326028.202445,249712.000000
24,30.000000,18.000000,4529678.514528,257917.000000
