Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
20,4.073000,262144.000000,490789.851762,251772.000000
20,4.639000,32768.000000,1048745.655666,279607.000000
20,5.649000,4096.000000,1858508.234898,294334.000000
20,7.918000,512.000000,2838036.888934,260195.000000
20,16.772000,64.000000,6633779.279050,283785.000000
20,30.000000,6.000000,7587679.111025,285849.000000
20,30.000000,9.000000,7190328.132650,282792.000000
20,30.000000,12.000000,6801602.844832,294188.000000
20,30.000000,15.000000,6557960.705234,301246.000000
20,30.000000,18.000000,6304487.524345,295972.000000
