Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
28,4.073000,262144.000000,375175.991823,273125.000000
28,4.639000,32768.000000,268244.763151,208793.000000
28,5.649000,4096.000000,621649.777872,272485.000000
28,7.918000,512.000000,1253522.841806,232101.000000
28,16.772000,64.000000,1552654.555895,132915.000000
28,30.000000,6.000000,2001748.993904,161657.000000
28,30.000000,9.000000,1501911.909830,136083.000000
28,30.000000,12.000000,1604646.399127,142585.000000
28,30.000000,15.000000,1558756.174707,134979.000000
28,30.000000,18.000000,1736393.220828,161599.000000
