Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
36,4.073000,262144.000000,77909.966205,43186.000000
36,4.639000,32768.000000,134265.463057,114484.000000
36,5.649000,4096.000000,84501.126774,49846.000000
36,7.918000,512.000000,24305.901650,6980.000000
36,16.772000,64.000000,20665.610056,3950.000000
36,30.000000,6.000000,22693.511033,4109.000000
36,30.000000,9.000000,24421.659342,5352.000000
36,30.000000,12.000000,23087.845439,4439.000000
36,30.000000,15.000000,30309.894639,7987.000000
36,30.000000,18.000000,34903.028092,8367.000000
