Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
32,4.073000,262144.000000,353659.941642,349307.000000
32,4.639000,32768.000000,195462.361763,146394.000000
32,5.649000,4096.000000,214436.869183,132176.000000
32,7.918000,512.000000,214645.140211,127800.000000
32,16.772000,64.000000,115052.003816,29787.000000
32,30.000000,6.000000,118253.615031,23260.000000
32,30.000000,9.000000,177205.261022,28242.000000
32,30.000000,12.000000,126779.073466,26368.000000
32,30.000000,15.000000,80221.758576,30382.000000
32,30.000000,18.000000,106174.751118,40482.000000
