Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
40,4.073000,262144.000000,152471.195729,122419.000000
40,4.639000,32768.000000,55354.601615,25699.000000
40,5.649000,4096.000000,68223.130029,30537.000000
40,7.918000,512.000000,23325.642413,3226.000000
40,16.772000,64.000000,16750.001015,1130.000000
40,30.000000,6.000000,17080.653822,830.000000
40,30.000000,9.000000,16243.288676,1103.000000
40,30.000000,12.000000,17339.388686,1132.000000
40,30.000000,15.000000,16999.845852,1023.000000
40,30.000000,18.000000,19790.611562,1331.000000
