Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
26,4.073000,262144.000000,545670.448756,256554.000000
26,4.639000,32768.000000,338708.931112,116750.000000
26,5.649000,4096.000000,958023.047438,190401.000000
26,7.918000,512.000000,3166589.962899,260294.000000
26,16.772000,64.000000,4570914.218609,123827.000000
26,30.000000,6.000000,4352049.501330,96758.000000
26,30.000000,9.000000,5192419.801856,131996.000000
26,30.000000,12.000000,4120364.022645,121130.000000
26,30.000000,15.000000,4968282.224138,154714.000000
26,30.000000,18.000000,4460586.143660,159495.000000
