Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
32,4.073000,262144.000000,269655.520244,193917.000000
32,4.639000,32768.000000,157761.679248,84337.000000
32,5.649000,4096.000000,401890.181751,106472.000000
32,7.918000,512.000000,98650.455442,15190.000000
32,16.772000,64.000000,66386.833499,3673.000000
32,30.000000,6.000000,87563.888025,3682.000000
32,30.000000,9.000000,67698.216786,2605.000000
32,30.000000,12.000000,64664.930658,3061.000000
32,30.000000,15.000000,79732.996319,5247.000000
32,30.000000,18.000000,107696.132085,6959.000000
