Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
36,4.073000,262144.000000,35752.399752,13056.000000
36,4.639000,32768.000000,88057.893167,47623.000000
36,5.649000,4096.000000,66696.750558,20770.000000
36,7.918000,512.000000,56697.570071,10934.000000
36,16.772000,64.000000,26762.323554,1945.000000
36,30.000000,6.000000,24525.056860,1055.000000
36,30.000000,9.000000,24933.355169,1279.000000
36,30.000000,12.000000,30001.923038,1608.000000
36,30.000000,15.000000,30084.189519,2091.000000
36,30.000000,18.000000,33083.263382,2174.000000
