Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
30,4.073000,262144.000000,271080.003685,165373.000000
30,4.639000,32768.000000,313219.410468,237226.000000
30,5.649000,4096.000000,737466.495263,234122.000000
30,7.918000,512.000000,260111.239505,34382.000000
30,16.772000,64.000000,694587.937304,24626.000000
30,30.000000,6.000000,686445.547808,15672.000000
30,30.000000,9.000000,651498.016089,18490.000000
30,30.000000,12.000000,655384.606693,25496.000000
30,30.000000,15.000000,1249374.035587,45727.000000
30,30.000000,18.000000,459619.544938,18358.000000
