Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
22,4.073000,262144.000000,370530.125712,170249.000000
22,4.639000,32768.000000,1187666.677876,280746.000000
22,5.649000,4096.000000,2337457.553249,279274.000000
22,7.918000,512.000000,4491385.944616,271427.000000
22,16.772000,64.000000,8473136.517167,192992.000000
22,30.000000,6.000000,8894193.245783,176759.000000
22,30.000000,9.000000,8463173.958444,181848.000000
22,30.000000,12.000000,8442595.222010,205193.000000
22,30.000000,15.000000,8220032.062999,217868.000000
22,30.000000,18.000000,8085825.916198,234011.000000
