Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
24,4.073000,262144.000000,463255.482256,173074.000000
24,4.639000,32768.000000,861488.732077,308797.000000
24,5.649000,4096.000000,1437443.392063,262860.000000
24,7.918000,512.000000,4128244.364970,275869.000000
24,16.772000,64.000000,6124894.517871,155745.000000
24,30.000000,6.000000,6928918.218289,148484.000000
24,30.000000,9.000000,6626258.018844,152642.000000
24,30.000000,12.000000,6365740.307866,176264.000000
24,30.000000,15.000000,6547806.506473,179920.000000
24,30.000000,18.000000,6154477.371149,181710.000000
