Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
38,4.073000,262144.000000,56499.153914,31435.000000
38,4.639000,32768.000000,65947.348211,31091.000000
38,5.649000,4096.000000,44194.990135,11285.000000
38,7.918000,512.000000,25293.903001,3889.000000
38,16.772000,64.000000,21012.692212,1323.000000
38,30.000000,6.000000,19884.624663,969.000000
38,30.000000,9.000000,19830.860118,1000.000000
38,30.000000,12.000000,20314.168110,1388.000000
38,30.000000,15.000000,20816.249590,1416.000000
38,30.000000,18.000000,23376.650680,1178.000000
