Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
34,4.073000,262144.000000,210271.050623,110839.000000
34,4.639000,32768.000000,123230.457140,77776.000000
34,5.649000,4096.000000,141216.308994,43667.000000
34,7.918000,512.000000,84986.438318,12154.000000
34,16.772000,64.000000,39132.706168,2157.000000
34,30.000000,6.000000,43269.257990,1964.000000
34,30.000000,9.000000,33596.623149,1603.000000
34,30.000000,12.000000,37292.732710,1850.000000
34,30.000000,15.000000,65497.454118,4484.000000
34,30.000000,18.000000,42727.760484,3270.000000
