Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
24,4.073000,262144.000000,123485.152213,53594.000000
24,4.639000,32768.000000,860082.648061,238142.000000
24,5.649000,4096.000000,1517718.820622,262430.000000
24,7.918000,512.000000,3438323.800626,268674.000000
24,16.772000,64.000000,6810985.733888,165999.000000
24,30.000000,6.000000,7281414.033483,148218.000000
24,30.000000,9.000000,7102545.360606,163274.000000
24,30.000000,12.000000,6692927.916913,168941.000000
24,30.000000,15.000000,6361193.815385,177639.000000
24,30.000000,18.000000,6347940.636102,181672.000000
