Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
30,4.073000,262144.000000,65424.639762,30142.000000
30,4.639000,32768.000000,422412.163214,243194.000000
30,5.649000,4096.000000,433708.821833,136131.000000
30,7.918000,512.000000,334597.540940,39230.000000
30,16.772000,64.000000,1164277.384039,31224.000000
30,30.000000,6.000000,695339.809275,17327.000000
30,30.000000,9.000000,655684.374439,15632.000000
30,30.000000,12.000000,1122590.442726,33731.000000
30,30.000000,15.000000,1332100.124716,41666.000000
30,30.000000,18.000000,1089155.597966,40334.000000
