Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
40,4.073000,262144.000000,344281.715425,276267.000000
40,4.639000,32768.000000,69054.666736,56624.000000
40,5.649000,4096.000000,44275.262879,19187.000000
40,7.918000,512.000000,31162.706092,5090.000000
40,16.772000,64.000000,14573.028443,837.000000
40,30.000000,6.000000,15535.862577,936.000000
40,30.000000,9.000000,16448.063017,840.000000
40,30.000000,12.000000,16487.773379,1013.000000
40,30.000000,15.000000,16983.776936,1000.000000
40,30.000000,18.000000,19372.403852,1354.000000
