Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
26,4.073000,262144.000000,85193.949950,73811.000000
26,4.639000,32768.000000,813070.454345,272909.000000
26,5.649000,4096.000000,1141214.266711,265860.000000
26,7.918000,512.000000,2082856.179114,206923.000000
26,16.772000,64.000000,4129874.948374,113265.000000
26,30.000000,6.000000,4938135.870946,110047.000000
26,30.000000,9.000000,4927038.847432,131844.000000
26,30.000000,12.000000,4177348.594027,116648.000000
26,30.000000,15.000000,4750257.560043,162630.000000
26,30.000000,18.000000,5421347.703776,176934.000000
