Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
30,4.073000,262144.000000,726635.277243,338881.000000
30,4.639000,32768.000000,346078.517239,258749.000000
30,5.649000,4096.000000,362047.241445,95700.000000
30,7.918000,512.000000,332479.338758,51825.000000
30,16.772000,64.000000,650793.317651,18543.000000
30,30.000000,6.000000,438880.684723,15407.000000
30,30.000000,9.000000,1164394.636783,36255.000000
30,30.000000,12.000000,744653.894358,30477.000000
30,30.000000,15.000000,723220.078524,25943.000000
30,30.000000,18.000000,680811.355663,28641.000000
