Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
38,4.073000,262144.000000,68694.339141,51109.000000
38,4.639000,32768.000000,80379.939064,36823.000000
38,5.649000,4096.000000,64288.610873,20592.000000
38,7.918000,512.000000,39362.730088,7853.000000
38,16.772000,64.000000,21419.548595,1203.000000
38,30.000000,6.000000,17767.177435,769.000000
38,30.000000,9.000000,20174.193317,1114.000000
38,30.000000,12.000000,24498.246305,1853.000000
38,30.000000,15.000000,23772.410143,1664.000000
38,30.000000,18.000000,23125.105254,1751.000000
