Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
22,4.073000,262144.000000,957862.237799,249132.000000
22,4.639000,32768.000000,1339500.105545,274864.000000
22,5.649000,4096.000000,2327906.503077,289967.000000
22,7.918000,512.000000,4522612.702912,276924.000000
22,16.772000,64.000000,8108480.138399,188053.000000
22,30.000000,6.000000,9083854.788285,182049.000000
22,30.000000,9.000000,8700834.222003,194192.000000
22,30.000000,12.000000,8214447.346062,200188.000000
22,30.000000,15.000000,8119180.412351,216015.000000
22,30.000000,18.000000,7854471.673339,211127.000000
