Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RR_L2_norm_flow_time,RR_maximum_flow_time
20,4.073000,262144.000000,979423.112992,233132.000000
20,4.639000,32768.000000,1406087.432395,284891.000000
20,5.649000,4096.000000,2408377.173613,267637.000000
20,7.918000,512.000000,5412899.993945,288167.000000
20,16.772000,64.000000,10015441.521153,216184.000000
20,30.000000,6.000000,10787378.389672,201306.000000
20,30.000000,9.000000,9948695.323580,217583.000000
20,30.000000,12.000000,9368895.444727,223358.000000
20,30.000000,15.000000,10082772.157381,234469.000000
20,30.000000,18.000000,9633233.609209,230202.000000
